"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis","216/5644","455/18888",0.474725274725275,1.58869790733717,8.29785010748169,1.09803941298275e-15,6.97364831185345e-12,5.69477914501686e-12,"ECE1/EPHA10/MACF1/NTNG1/AMIGO1/NOTCH2/SEMA6C/EFNA1/CRABP2/TNR/LHX4/LHX9/LGR6/NFASC/PLXNA2/WNT3A/DISC1/GATA3/KIF5B/ITGB1/NRP1/PARD3/RET/DRGX/PRKG1/ANK3/MYPN/ATOH7/LGI1/SLIT1/PAX2/FGFR2/BRSK2/LRRC4C/LRP4/MARK2/MAP6/TSKU/PAK1/PICALM/DSCAML1/LRTM2/PTPRO/PRICKLE1/NELL2/DIP2B/RAB21/ZDHHC17/PLXNC1/PTPN11/ULK1/ATP8A2/DCLK1/SPART/ATL1/OTX2/SIPA1L1/NUMB/NRXN3/FLRT2/BCL11B/CYFIP1/FOXB1/MAP2K1/NEO1/ISLR2/SEMA7A/ISL2/SEMA4B/RGMA/IGF1R/METRN/PLEKHG4/CDH1/TUBB3/NTN1/TRPV2/ULK2/NGFR/NOG/BAIAP2/ACTG1/AFG3L2/B4GALT6/ARK2C/SMAD4/MAP2K2/DNM2/NOTCH3/MAG/APLP1/SPTBN4/NUMBL/APOE/ARHGAP35/GDF7/RAB10/DPYSL5/FEZ2/SOS1/RTN4/B3GNT2/SEMA4C/TTL/POTEE/NR4A2/TBR1/CHN1/BMPR2/RAPH1/NRP2/CREB1/MAP2/FN1/CDK5R2/STK25/SNAP25/FLRT3/PARD6B/ADNP/BMP7/EDN3/CDH4/YTHDF1/TIAM1/DSCAM/ADARB1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/DAG1/SEMA3B/ROBO1/EPHA3/EPHA6/BOC/GSK3B/SEMA5B/KALRN/PLXNA1/PLXND1/RYK/EPHB1/SHOX2/EPHB3/MAP3K13/PAK2/APBB2/NKX6-1/BMPR1B/POU4F2/PALLD/PLEKHG4B/SEMA5A/TRIO/EMB/ISL1/FOXD1/ARHGEF28/EFNA5/FSTL4/CDKL3/GFRA3/PCDHAC2/POU4F3/SLIT3/UNC5A/TUBB2B/EDN1/KIAA0319/POU3F2/NR2E1/FYN/UST/TIAM2/ACTB/EVX1/GLI3/ADCY1/COBL/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SMURF1/RELN/NRCAM/PLXNA4/SHH/KIF13B/MATN2/EXT1/PTK2/ADGRB1/NFIB/C9orf72/SEMA4D/LHX2/STXBP1/HMCN2/ABL1/OLFM1/LHX3/ANAPC2/SSNA1/CDKL5/ARX/OPHN1/SLC9A6/FGF13/L1CAM/ARHGAP4",216
"GO:0010975","regulation of neuron projection development","213/5644","460/18888",0.46304347826087,1.54960404276954,7.79031716517019,4.44905190763565e-14,1.4127964332697e-10,1.15370940783794e-10,"ACAP3/MACF1/MFSD2A/PTPRF/ELAVL4/GFI1/NTNG1/AMIGO1/LRIG2/CERS2/SEMA6C/S100A9/EFNA1/CRABP2/TNR/ABL2/CAMSAP2/PLXNA2/MARK1/WNT3A/DISC1/GATA3/NRP1/RET/DKK1/ATOH7/NEUROG3/CAMK2G/SLIT1/KNDC1/BRSK2/LRRC4C/LRP4/MARK2/EHD1/MAP6/TSKU/PAK1/PTPRO/TWF1/DIP2B/ATF1/AVIL/MDM2/RAB21/PPFIA2/PLXNC1/TRPV4/CUX2/FBXW8/ULK1/ATP8A2/SPART/STK24/PRKD1/SIPA1L1/KIF26A/AKT1/CYFIP1/NEDD4/MAP2K1/NEO1/NPTN/ISLR2/SEMA7A/PTPN9/CHRNA3/MINAR1/NTRK3/SEMA4B/RGMA/IGF1R/METRN/EEF2K/TBX6/NDRG4/CDH1/SERPINF1/NTN1/TRPV2/ULK2/SARM1/ITGA3/NME2/TANC2/BAIAP2/MAP2K2/CARM1/ANKRD27/MAG/APOE/ARHGAP35/KIDINS220/PUM2/DPYSL5/ALK/RTN4/DGUOK/SEMA4C/TBR1/ITGA6/CHN1/HECW2/BMPR2/ABI2/MAP2/FN1/NGEF/KIF1A/STK25/SNAP25/CBFA2T2/PREX1/ADNP/BMP7/CDH4/SS18L1/YTHDF1/PTK6/TIAM1/DSCAM/KREMEN1/INPP5J/WNT7A/GOLGA4/ULK4/TRAK1/SEMA3B/PTPRG/ROBO1/EPHA3/GSK3B/SEMA5B/PLXNA1/PLXND1/RYK/DHX36/SHOX2/SERPINI1/PRKCI/TNIK/NLGN1/EPHB3/MAP3K13/DGKG/HES1/PAK2/PPP3CA/POU4F2/RAPGEF2/TENM3/SEMA5A/ENC1/ARSB/NR2F1/EFNA5/FSTL4/CDKL3/SPOCK1/FBXO38/DBN1/TUBB2B/DTNBP1/KIAA0319/PACSIN1/FUT9/POU3F2/NR2E1/FYN/UST/SYNE1/TIAM2/CAMK2B/COBL/LIMK1/STYXL1/MAGI2/SEMA3C/SEMA3E/SEMA3A/SMURF1/EPO/CUX1/RELN/NRCAM/PLXNA4/EZH2/KIF13B/LYN/STAU2/SDC2/CSMD3/WASHC5/ARC/KANK1/SEMA4D/ROR2/KLF4/DAB2IP/NCS1/ABL1/RAPGEF1/SETX/ANAPC2/CDKL5/EFHC2/PQBP1/ARMCX5-GPRASP2/THOC2/FRMD7/FGF13/L1CAM/ARHGAP4",213
"GO:0032535","regulation of cellular component size","173/5644","370/18888",0.467567567567568,1.56474419139196,7.16178042202873,3.96039670154463e-12,8.38415981716999e-09,6.84662264860014e-09,"WDTC1/MACF1/RAB3B/KANK4/VAV3/SEMA6C/TMOD4/CRABP2/KIRREL1/TNR/WNT3A/DISC1/ACTN2/SVIL/NRP1/RET/KCNMA1/SLIT1/SPTBN2/SSH3/FCHSD2/AQP11/CLNS1A/PICALM/RDX/EPS8/TWF1/ANO6/DIP2B/RARG/AVIL/RAB21/TRPV4/P2RX7/ULK1/SPART/PRKD1/ARHGAP5/CFL2/SPTB/RIN3/EVL/HSP90AA1/CYFIP1/TMOD2/TMOD3/RAB11A/BBS4/ISLR2/SEMA7A/SEMA4B/RGMA/CORO1A/SLC12A4/CDH1/COTL1/RAP1GAP2/ALOX15/NTN1/TRPV2/FLII/ULK2/SSH2/CCR7/NHERF1/GRB2/RPTOR/BAIAP2/DNM2/PIK3R2/KXD1/BORCS8/MAG/NPHS1/SPTBN4/APOE/ARHGAP35/MYADM/AKT3/CYRIA/PUM2/CDC42EP3/PRKCE/SPTBN1/RTN4/PLEK/ADD2/TMSB10/CAPG/SEMA4C/TTL/SCTR/STK39/ALS2/BMPR2/CREB1/MAP2/FN1/ARPC2/VIL1/HCK/ARHGAP40/PREX1/ADNP/RAB22A/CDH4/DSCAM/COL6A1/TRIOBP/CAV3/WNT7A/GOLGA4/VILL/SEMA3B/PRKCD/GSK3B/SEMA5B/SLC12A8/RYK/PFN2/MAP3K13/DLG1/ADD1/CRACD/NKX6-1/POU4F2/SEMA5A/IL7R/RICTOR/F2RL1/EFNA5/FSTL4/CDKL3/CDHR2/EDN1/KIAA0319/CARMIL1/SCIN/AQP1/ELN/LIMK1/CCL26/SEMA3C/SEMA3E/SEMA3A/BAIAP2L1/SMURF1/SLC12A9/SLC26A5/NRCAM/LMOD2/PLXNA4/ABCB8/RB1CC1/ARFGEF1/DEPTOR/WASHC5/CYRIB/KANK1/SEMA4D/TMOD1/MEGF9/ABL1/TSC1/VAV2/OLFM1/ANAPC2/CDKL5/MSN/ATP7A/FGF13/L1CAM/ARHGAP4",173
"GO:0008361","regulation of cell size","101/5644","188/18888",0.537234042553192,1.79788741951536,7.1773668671861,6.57292976805498e-12,1.04361692392293e-08,8.52232235979128e-09,"WDTC1/MACF1/VAV3/SEMA6C/CRABP2/TNR/WNT3A/DISC1/NRP1/RET/KCNMA1/SLIT1/AQP11/CLNS1A/RDX/ANO6/DIP2B/RARG/RAB21/TRPV4/P2RX7/ULK1/SPART/PRKD1/ARHGAP5/HSP90AA1/CYFIP1/ISLR2/SEMA7A/SEMA4B/RGMA/SLC12A4/CDH1/RAP1GAP2/NTN1/TRPV2/ULK2/NHERF1/RPTOR/DNM2/MAG/APOE/ARHGAP35/AKT3/PUM2/RTN4/PLEK/SEMA4C/TTL/SCTR/STK39/BMPR2/CREB1/MAP2/FN1/ADNP/CDH4/DSCAM/COL6A1/CAV3/GOLGA4/SEMA3B/GSK3B/SEMA5B/SLC12A8/RYK/MAP3K13/NKX6-1/POU4F2/SEMA5A/IL7R/EFNA5/FSTL4/CDKL3/EDN1/KIAA0319/AQP1/LIMK1/SEMA3C/SEMA3E/SEMA3A/SMURF1/SLC12A9/SLC26A5/NRCAM/PLXNA4/ABCB8/RB1CC1/DEPTOR/SEMA4D/ABL1/TSC1/VAV2/OLFM1/ANAPC2/CDKL5/MSN/ATP7A/FGF13/L1CAM/ARHGAP4",101
"GO:0051056","regulation of small GTPase mediated signal transduction","145/5644","304/18888",0.476973684210526,1.59622235070312,6.8413349289097,3.60553021391358e-11,4.57974447771303e-08,3.73988365556889e-08,"PLEKHG5/ARHGEF10L/RAP1GAP/SYDE2/VAV3/EPS8L3/NOTCH2/CDC42SE1/ARHGEF11/MYOC/ABL2/KIF14/SRGAP2/TGFB2/OBSCN/RHOU/SIPA1L2/NET1/ARHGAP21/ARHGAP12/ITGB1/NRP1/RASGEF1A/ARHGAP22/DNMBP/GBF1/PSD/LRP4/MADD/RHOD/ARAP1/ARRB1/RDX/APOC3/ARHGAP32/EPS8/RASAL1/RHOF/SPATA13/STARD13/MCF2L/ARHGAP5/RALGAPA1/PLEKHG3/SIPA1L1/RASGRP1/RASGRF1/AKAP13/ARHGAP17/PLEKHG4/RAP1GAP2/ITGA3/GNA13/ARHGDIA/MAPRE2/ARHGEF18/SYDE1/RASAL3/SIPA1L3/ARHGEF1/APOE/ARHGAP35/RASIP1/NUP62/SOS1/MAP4K4/PSD4/ARHGEF4/CHN1/ITGAV/ALS2/CUL3/NGEF/GPR35/RALGAPA2/TGM2/ARHGAP40/PREX1/ARFGEF2/ARFGAP1/TIAM1/ITSN1/BCR/SRGAP3/IQSEC1/FGD5/ROBO1/RABL3/KALRN/PIK3CB/RASA2/ARHGAP24/ARHGAP10/PLEKHG4B/TRIO/ARHGEF28/F2RL1/CDC42SE2/FAM13B/PSD2/SPRY4/ARHGAP26/CSNK1A1/DOCK2/DEF6/FGD2/ARFGEF3/PLEKHG1/TIAM2/MMD2/CHN2/ADCYAP1R1/RABGEF1/AUTS2/EPO/SH2B2/RELN/PIK3CG/MET/DLC1/PSD3/ARFGEF1/ABRA/CYRIB/DENND3/ARHGAP39/DOCK8/KANK1/DENND4C/SEMA4D/FGD3/FBP1/DAB2IP/DENND1A/MAPKAP1/RALGPS1/GARNL3/ABL1/VAV2/ARHGAP6/OPHN1/STARD8/OGT/FRMD7/ARHGAP4",145
"GO:0050770","regulation of axonogenesis","84/5644","156/18888",0.538461538461538,1.80199531156299,6.56609951721838,3.26422805777546e-10,3.45518539915532e-07,2.82155291941398e-07,"MACF1/AMIGO1/SEMA6C/EFNA1/CRABP2/TNR/PLXNA2/WNT3A/DISC1/NRP1/RET/SLIT1/BRSK2/LRRC4C/LRP4/MARK2/MAP6/PAK1/DIP2B/PLXNC1/ULK1/SPART/SIPA1L1/CYFIP1/MAP2K1/ISLR2/SEMA7A/SEMA4B/RGMA/METRN/CDH1/NTN1/TRPV2/ULK2/MAP2K2/MAG/ARHGAP35/RTN4/SEMA4C/CHN1/BMPR2/MAP2/FN1/STK25/ADNP/CDH4/TIAM1/DSCAM/WNT7A/GOLGA4/TRAK1/SEMA3B/ROBO1/GSK3B/SEMA5B/PLXNA1/PLXND1/RYK/SHOX2/EPHB3/MAP3K13/PAK2/POU4F2/SEMA5A/EFNA5/FSTL4/CDKL3/KIAA0319/POU3F2/UST/TIAM2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SMURF1/PLXNA4/KIF13B/SEMA4D/ANAPC2/CDKL5/FGF13/L1CAM/ARHGAP4",84
"GO:0048675","axon extension","68/5644","119/18888",0.571428571428571,1.91232155512808,6.51727814305592,5.36499732868033e-10,4.86758543349268e-07,3.97493862231699e-07,"MACF1/SEMA6C/TNR/WNT3A/DISC1/ITGB1/NRP1/SLIT1/DIP2B/RAB21/ULK1/DCLK1/CYFIP1/ISLR2/SEMA7A/SEMA4B/CDH1/NTN1/TRPV2/ULK2/DNM2/MAG/APOE/RTN4/SEMA4C/TTL/BMPR2/RAPH1/NRP2/MAP2/FN1/ADNP/EDN3/CDH4/DSCAM/GOLGA4/SEMA3B/GSK3B/SEMA5B/RYK/MAP3K13/NKX6-1/POU4F2/SEMA5A/CDKL3/POU4F3/SLIT3/EDN1/KIAA0319/AUTS2/LIMK1/SEMA3C/SEMA3E/SEMA3A/SMURF1/NRCAM/PLXNA4/C9orf72/SEMA4D/LHX2/ABL1/OLFM1/ANAPC2/SSNA1/CDKL5/SLC9A6/L1CAM/ARHGAP4",68
"GO:0007264","small GTPase-mediated signal transduction","212/5644","500/18888",0.424,1.41894259390503,6.19780172636396,1.2092612565209e-09,9.60002280020533e-07,7.83951343536644e-07,"GNB1/PLEKHG5/ARHGEF10L/RAP1GAP/SYDE2/VAV3/EPS8L3/NRAS/NOTCH2/CDC42SE1/ARHGEF11/MYOC/ABL2/KIF14/RABIF/SRGAP2/TGFB2/OBSCN/RHOU/SIPA1L2/NET1/GDI2/ARHGAP21/ARHGAP12/ITGB1/NRP1/RASGEF1A/ARHGAP22/RHOBTB1/PLCE1/DNMBP/GBF1/PSD/ARL3/ADRA2A/DOCK1/KNDC1/PTH/LRP4/MADD/RASGRP2/RHOD/ARAP1/ARRB1/RAB30/RDX/APOC3/ARHGAP32/RERG/EPS8/RAPGEF3/RAB21/MAPKAPK5/RASAL1/KSR2/RHOF/SPATA13/STARD13/MCF2L/ARHGAP5/RALGAPA1/PLEKHG3/RAB15/SIPA1L1/CCDC88C/CYFIP1/RASGRP1/USP8/HACD3/RASGRF1/AKAP13/ARHGDIG/ARHGAP17/PLEKHG4/RIPOR1/CDH13/RAP1GAP2/NTN1/KSR1/NGFR/ITGA3/GNA13/GRB2/ARHGDIA/MAPRE2/ARHGEF18/DOCK6/SYDE1/RASAL3/GARRE1/SIPA1L3/ARHGEF1/APOE/ARHGAP35/RASIP1/RRAS/NUP62/RHOB/CDC42EP3/SOS1/MAP4K4/PSD4/RALB/RAB6C/ARHGEF4/RND3/RAPGEF4/CHN1/ITGAV/ALS2/ABI2/CUL3/DOCK10/NGEF/GPR35/FARP2/RIN2/RALGAPA2/TGM2/ARHGAP40/PREX1/ARFGEF2/DOK5/ARFGAP1/RGS19/TIAM1/ITSN1/BCR/CELSR1/SRGAP3/IQSEC1/FGD5/ROBO1/RABL3/KALRN/ROPN1B/PIK3CB/RASA2/SIAH2/RAP2B/PLD1/TNK2/RASGEF1B/ARHGAP24/RAB33B/ARHGAP10/RAPGEF2/PLEKHG4B/TRIO/ARHGEF28/F2RL1/CDC42SE2/FAM13B/PSD2/SPRY4/ARHGAP26/CSNK1A1/G3BP1/DOCK2/RUFY1/RASGEF1C/DEF6/FGD2/ARFGEF3/PLEKHG1/TIAM2/GNA12/MMD2/CHN2/ADCYAP1R1/RABGEF1/AUTS2/LIMK1/EPO/SH2B2/RELN/PIK3CG/DOCK4/MET/DLC1/PSD3/ARFGEF1/ABRA/CYRIB/DENND3/ARHGAP39/DOCK8/KANK1/DENND4C/SEMA4D/FGD3/FBP1/DAB2IP/DENND1A/MAPKAP1/RALGPS1/GARNL3/ABL1/RAPGEF1/RALGDS/VAV2/ARHGAP6/OPHN1/STARD8/OGT/CHM/DOCK11/RAB33A/FRMD7/RAP2C/ARHGAP4/RAB39B",212
"GO:0061387","regulation of extent of cell growth","62/5644","109/18888",0.568807339449541,1.90354943790272,6.17581594899867,3.9219788512408e-09,2.76760974269226e-06,2.26006898246356e-06,"MACF1/SEMA6C/CRABP2/TNR/WNT3A/DISC1/NRP1/SLIT1/DIP2B/RAB21/ULK1/SPART/CYFIP1/ISLR2/SEMA7A/SEMA4B/RGMA/CDH1/NTN1/TRPV2/ULK2/DNM2/MAG/APOE/PUM2/RTN4/SEMA4C/TTL/BMPR2/MAP2/FN1/ADNP/CDH4/DSCAM/GOLGA4/SEMA3B/GSK3B/SEMA5B/RYK/MAP3K13/NKX6-1/POU4F2/SEMA5A/EFNA5/FSTL4/CDKL3/KIAA0319/LIMK1/SEMA3C/SEMA3E/SEMA3A/SMURF1/NRCAM/PLXNA4/SEMA4D/ABL1/OLFM1/ANAPC2/CDKL5/FGF13/L1CAM/ARHGAP4",62
"GO:0016358","dendrite development","112/5644","235/18888",0.476595744680851,1.59495755236214,5.99116077902687,6.27030385713065e-09,3.93251395678503e-06,3.21134612287826e-06,"MFSD2A/FOXO6/ELAVL4/CELSR2/EFNA1/CAMSAP2/SRGAP2/MARK1/DISC1/ABI1/ITGB1/NRP1/PRKG1/NEUROG3/DLG5/CPEB3/NEURL1/KNDC1/LRP4/FLRT1/MAP6/PICALM/CD3E/PRICKLE1/SLC11A2/RAB21/PPFIA2/CUX2/MAPKAPK5/FBXW8/DCLK1/SIPA1L1/CYFIP1/MAPK6/NEDD4/BBS4/CHRNA3/MEF2A/EEF2K/SARM1/IGF2BP1/PPP1R9B/TANC2/BAIAP2/CARM1/ANKRD27/PAK4/APOE/SHANK1/KIDINS220/DPYSL5/ALK/HECW2/ABI2/MAP2/DOCK10/NGEF/KIF1A/ZMYND8/PREX1/BMP7/SS18L1/TIAM1/DSCAM/IQSEC1/WNT7A/TRAK1/GSK3B/EPHB1/DHX36/TNIK/NLGN1/EPHB3/DGKG/PAK2/PPP3CA/IL2/RAPGEF2/CTNND2/FSTL4/CDKL3/CAMK2A/DBN1/PHACTR1/DTNBP1/DCDC2/KIAA0319/PACSIN1/TPBG/NR2E1/FYN/SYNE1/SDK1/CAMK2B/COBL/SEMA3A/CUX1/RELN/EZH2/STAU2/SDC2/MATN2/CSMD3/ASAP1/ARC/SEMA4D/DAB2IP/ABL1/ANAPC2/CDKL5/PQBP1/ARMCX5-GPRASP2",112
"GO:0030900","forebrain development","176/5644","408/18888",0.431372549019608,1.44361529161629,5.91358730417958,6.8111562784814e-09,3.93251395678503e-06,3.21134612287826e-06,"CHD5/WNT4/MFSD2A/POMGNT1/ELAVL4/KCNA2/KCNA3/NHLH2/HSD3B1/NOTCH2NLC/TNR/KIF14/BTG2/ATP2B4/SRGAP2/WNT3A/DISC1/WDR37/ZEB1/NRP1/PRKG1/DKK1/NEUROG3/ZMIZ1/NRG3/SLIT1/FGFR2/TACC2/BNIP3/TH/KCNC1/SLC1A2/TSKU/SLC38A2/AVPR1A/FRS2/KCNC2/ASCL1/KDM2B/RAN/GSX1/DCLK1/BMP4/OTX2/SYNE2/PALS1/NUMB/POMT2/GSC/BCL11B/CCDC85C/KIF26A/ALDH1A2/FOXB1/HERC1/BBS4/SEMA7A/NR2F2/IGF1R/ITGAM/CDH1/PHLPP2/UBB/IGF2BP1/PPP1R9B/NOG/SSTR2/DNAJB1/NOTCH3/APLP1/NUMBL/ARHGAP35/FUT1/GDF7/NCOA1/ALK/RTN4/OTX1/EMX1/INHBB/RAB3GAP1/CXCR4/NR4A2/TBR1/DLX1/DLX2/PGAP1/NRP2/CREB1/ERBB4/ATIC/CDK5R2/BMP2/PLCB1/XRN2/SLC32A1/ZNF335/OLIG2/NF2/LARGE1/OXTR/WNT7A/TOP2B/EOMES/SCN5A/FOXP1/ROBO1/POU1F1/GSK3B/PLXNA1/GATA2/RYK/P2RY12/SOX2/EIF2B5/EPHB3/TRA2B/HES1/TACC3/RBPJ/GSX2/PITX2/DCLK2/RAPGEF2/SEMA5A/DNAH5/ISL1/OTP/PITX1/DRD1/TUBB2B/TMEM14B/PHACTR1/MDGA1/AKIRIN2/POU3F2/NR2E1/FYN/UNCX/AQP1/GHRHR/INHBA/GLI3/OGDH/NSUN5/SEMA3E/SEMA3A/CDK6/RELN/LAMB1/FOXP2/PLXNA4/EZH2/HTR5A/SHH/DLC1/TACC1/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/AGTPBP1/TAL2/DAB2IP/LHX6/LHX2/TSC1/LHX3/ARX/OPHN1/ATP7A/ZIC3/FGF13/SOX3",176
"GO:0031346","positive regulation of cell projection organization","158/5644","360/18888",0.438888888888889,1.46876919442476,5.86221105233595,9.71005049316638e-09,5.13904422350831e-06,4.1966156824413e-06,"WRAP73/CROCC/MACF1/ELAVL4/FNBP1L/AMIGO1/EPS8L3/S100A9/CRABP2/ABL2/PLXNA2/WNT3A/DISC1/NRP1/RET/ATOH7/PLCE1/NEURL1/MARK2/EHD1/CORO1B/ARAP1/MAP6/EPS8/TWF1/ATF1/AVIL/GRIP1/RAB21/PLXNC1/CUX2/FBXW8/P2RX7/ATP8A2/STK24/PRKD1/PLEK2/TGFB3/HSP90AA1/CYFIP1/RAB8B/MAP2K1/BBS4/NPTN/ISLR2/SEMA7A/NTRK3/RGMA/IGF1R/METRN/EEF2K/NDRG4/DEF8/SERPINF1/NTN1/TRPV2/IFT20/CCR7/ITGA3/NME2/MIR21/BAIAP2/MAP2K2/ANKRD27/APOE/ARHGAP35/KIDINS220/PUM2/ALK/CDC42EP3/ACTR3/ITGA6/MSTN/BMPR2/ABI2/FN1/ARPC2/VIL1/STK25/CBFA2T2/ZMYND8/ADNP/BMP7/CDH4/SS18L1/PTK6/TIAM1/DSCAM/GOLGA4/TRAK1/ROBO1/EPHA3/GSK3B/PLXNA1/PLXND1/CLRN1/P2RY12/DHX36/SHOX2/SERPINI1/PRKCI/NLGN1/DVL3/MAP3K13/HTT/POU4F2/RAPGEF2/GPM6A/TENM3/SEMA5A/ITGA2/ENC1/F2RL1/ARSB/EFNA5/APC/CDKL3/FBXO38/TENM2/DBN1/OCLN/TUBB2B/NEDD9/CARMIL1/PACSIN1/FUT9/FYN/TIAM2/CAMK2B/COBL/AUTS2/LIMK1/STYXL1/MAGI2/SMURF1/EPO/CUX1/RELN/PLXNA4/EZH2/RP1/LYN/STAU2/ENPP2/WASHC5/SEMA4D/ROR2/DAB2IP/ABL1/RAPGEF1/SETX/ANAPC2/CDKL5/ATP7A/ARMCX5-GPRASP2/DOCK11/FRMD7/L1CAM",158
"GO:0023061","signal release","203/5644","487/18888",0.416837782340862,1.39497378328388,5.76470973454712,1.39499238165771e-08,6.81507431992933e-06,5.56528539629761e-06,"NADK/CELA2A/KCNA2/SLC16A1/SYT6/ENSA/PLA2G4A/SYT2/KDM5B/ADORA1/REN/SNAP47/AGT/GATA3/GPR158/ALOX5/MCU/CAMK2G/MYOF/ADRA2A/CCDC186/SLC18A2/CTBP2/BRSK2/SYT8/KCNQ1/BMAL1/CRY2/F2/SYT7/NRXN2/SYT12/LRP5/GAL/CPT1A/ANO1/UCP2/MTNR1B/SIDT2/FGF23/KCNA5/SYT10/SLC38A2/ASIC1/SLC4A8/NR4A1/SYT1/LIN7A/PPFIA2/CRY1/TRPV4/ATP2A2/PTPN11/RPH3A/SLC8B1/P2RX7/P2RX4/HCAR2/STX2/HTR2A/ABCC4/PRKD1/GPR68/TUNAR/VPS18/CYP19A1/UNC13C/RAB8B/CPLX3/CHRNA3/CHRNB4/NMB/SV2B/ABAT/PRKCB/DOC2A/SMPD3/SREBF1/GIP/STXBP4/PRKAR1A/MAP2K6/SMAD4/SIRT6/STXBP2/FFAR2/LTBP4/GRIK5/LIN7B/PPFIA3/PRKCG/EIPR1/SOX11/POMC/OTOF/PRKCE/DYSF/TACR1/IL1A/IL1B/INHBB/RAB3GAP1/RAPGEF4/CREB1/PNKD/IRS1/PER2/PLCB1/SNAP25/NAPB/FER1L4/TGM2/SLC32A1/RIMS4/KCNB1/EDN3/HRH3/DNAJC5/TIAM1/FAM3B/PFKL/SEPTIN5/COMT/SNAP29/LIF/SYN3/PLA2G6/ITPR1/OXTR/SYN2/PPARG/WNT7A/MYRIP/PTPN23/CADPS/ILDR1/ADCY5/SNX4/TRH/PFN2/SUCNR1/P2RY1/KPNA4/GHSR/NLGN1/CPLX1/ADRA2C/REST/NKX6-1/PPP3CA/SLC9B2/FGB/ISL1/CARTPT/FOXD1/SV2C/F2RL1/PDE8B/MCTP1/EFNA5/SNCAIP/CAMK2A/CPLX2/BMP6/EDN1/DTNBP1/GPLD1/UQCC2/GRM4/TFAP2B/CGA/SLC16A10/GJA1/MYB/STX11/GPER1/IL6/AQP1/GHRHR/INHBA/GCK/STX1A/PCLO/SRI/TFR2/VGF/CADPS2/LEP/PTPRN2/OPRK1/LYN/CHD7/CRH/RIMS2/SYBU/ADCY8/MAFA/JAK2/UNC13B/SYK/STXBP1/SYTL4/BTK",203
"GO:0007411","axon guidance","110/5644","234/18888",0.47008547008547,1.57317051009468,5.7593196985308,2.18536586332846e-08,9.25283906533271e-06,7.55599832183813e-06,"ECE1/EPHA10/NOTCH2/SEMA6C/EFNA1/TNR/LHX4/LHX9/LGR6/NFASC/WNT3A/GATA3/KIF5B/NRP1/RET/DRGX/MYPN/ATOH7/LGI1/SLIT1/DSCAML1/LRTM2/PTPRO/NELL2/OTX2/NRXN3/FLRT2/BCL11B/CYFIP1/NEO1/SEMA7A/ISL2/SEMA4B/PLEKHG4/TUBB3/NTN1/NGFR/NOG/ARK2C/SMAD4/NOTCH3/ARHGAP35/GDF7/DPYSL5/FEZ2/SOS1/B3GNT2/SEMA4C/TBR1/CHN1/BMPR2/NRP2/CDK5R2/FLRT3/BMP7/EDN3/CDH4/YTHDF1/DSCAM/CNTN4/DAG1/SEMA3B/ROBO1/EPHA3/EPHA6/BOC/SEMA5B/KALRN/RYK/EPHB1/EPHB3/APBB2/BMPR1B/POU4F2/PALLD/PLEKHG4B/SEMA5A/TRIO/EMB/ISL1/FOXD1/EFNA5/GFRA3/PCDHAC2/POU4F3/SLIT3/UNC5A/TUBB2B/EDN1/FYN/EVX1/GLI3/SEMA3C/SEMA3E/SEMA3A/RELN/NRCAM/PLXNA4/SHH/MATN2/EXT1/PTK2/NFIB/SEMA4D/LHX2/HMCN2/LHX3/ARX/OPHN1/L1CAM",110
"GO:0097485","neuron projection guidance","110/5644","234/18888",0.47008547008547,1.57317051009468,5.7593196985308,2.18536586332846e-08,9.25283906533271e-06,7.55599832183813e-06,"ECE1/EPHA10/NOTCH2/SEMA6C/EFNA1/TNR/LHX4/LHX9/LGR6/NFASC/WNT3A/GATA3/KIF5B/NRP1/RET/DRGX/MYPN/ATOH7/LGI1/SLIT1/DSCAML1/LRTM2/PTPRO/NELL2/OTX2/NRXN3/FLRT2/BCL11B/CYFIP1/NEO1/SEMA7A/ISL2/SEMA4B/PLEKHG4/TUBB3/NTN1/NGFR/NOG/ARK2C/SMAD4/NOTCH3/ARHGAP35/GDF7/DPYSL5/FEZ2/SOS1/B3GNT2/SEMA4C/TBR1/CHN1/BMPR2/NRP2/CDK5R2/FLRT3/BMP7/EDN3/CDH4/YTHDF1/DSCAM/CNTN4/DAG1/SEMA3B/ROBO1/EPHA3/EPHA6/BOC/SEMA5B/KALRN/RYK/EPHB1/EPHB3/APBB2/BMPR1B/POU4F2/PALLD/PLEKHG4B/SEMA5A/TRIO/EMB/ISL1/FOXD1/EFNA5/GFRA3/PCDHAC2/POU4F3/SLIT3/UNC5A/TUBB2B/EDN1/FYN/EVX1/GLI3/SEMA3C/SEMA3E/SEMA3A/RELN/NRCAM/PLXNA4/SHH/MATN2/EXT1/PTK2/NFIB/SEMA4D/LHX2/HMCN2/LHX3/ARX/OPHN1/L1CAM",110
